,wt_fe2_1,wt_fe2_2,wt_dpd_1,wt_dpd_2,delfur_fe2_1,delfur_fe2_2,delfur_dpd_1,delfur_dpd_2
b1581,16,22,22,11,35,25,24,32
b1582,72,60,48,37,51,54,39,52
b1583,1122,1004,1057,898,1449,1278,1011,1200
b1584,1109,954,562,462,1124,1042,566,640
b1585,447,412,704,542,567,584,634,559
b1586,245,228,552,534,444,394,496,616
b1587,24,24,84,66,27,26,82,92
b1588,205,165,204,184,93,91,180,183
b1589,43,34,32,38,19,24,34,43
b1590,105,73,78,67,66,67,96,112
b1591,280,197,261,264,242,230,265,298
b1592,91,98,148,133,92,105,165,130
b1593,155,130,203,182,171,153,206,202
b1594,535,453,411,369,541,503,389,405
b1595,83,89,210,203,104,102,192,209
b1596,166,147,638,606,870,883,915,943
b1597,52,45,146,111,66,57,110,107
b1598,511,404,906,842,583,554,1026,851
b1599,12,17,2,2,14,15,7,6
b1600,27,24,6,4,25,17,5,15
b1601,68,60,64,66,78,63,105,72
b1602,14388,11391,2734,2010,14054,13536,2567,2486
b1603,22589,19030,5042,3433,23380,21859,4396,4193
b1604,1723,1274,1020,792,1552,1525,1033,1027
b1605,123,78,176,177,106,87,256,246
b1606,264,220,434,427,288,253,425,489
b1607,252,208,127,104,187,190,158,136
b1608,710,704,730,659,798,776,581,669
b1609,573,427,379,410,557,544,396,489
b1610,306,237,441,398,350,346,402,420
b1611,799,616,1564,1580,475,443,1161,987
b1612,5415,4600,1206,1081,1067,1014,1313,1452
b1613,1439,1253,1526,1395,1376,1271,1443,1840
b1614,4023,3450,8101,7801,3928,3749,8131,9138
b1615,13,11,23,16,23,19,28,19
b1616,12,10,3,8,13,10,2,4
b1617,24,31,38,21,28,27,26,32
b1618,455,413,460,432,412,399,479,463
b1619,1747,1374,7445,6940,1900,2092,5658,5754
b1620,115,112,181,142,137,134,185,137
b1621,85,77,37,44,95,69,45,38
b1622,422,370,390,389,503,423,410,412
b1623,345,259,722,762,424,413,1031,1159
b1624,1513,1279,1790,1627,1757,1615,1909,1958
b1625,179,154,108,109,183,147,196,228
b1626,457,428,283,234,464,449,335,329
b1627,288,280,254,244,360,338,333,401
b1628,308,245,277,280,342,332,368,444
b1629,1432,1180,1566,1273,1483,1366,1645,1919
b1630,442,391,317,294,498,444,350,418
b1631,184,182,180,205,212,220,222,195
b1632,234,242,209,208,285,247,258,280
b1633,291,233,166,163,276,239,193,232
b1634,145,117,599,550,120,108,1272,1365
b1635,1172,957,2810,2684,1466,1374,2344,2507
b1636,630,525,195,196,494,454,267,313
b1637,3801,3024,3685,3052,3405,3441,3541,4000
b1638,1063,832,1105,858,918,901,1185,1128
b1639,46,57,118,123,61,81,161,111
b1640,408,336,523,461,399,428,509,547
b1641,4089,3227,5628,4819,3760,3770,6442,5962
b1642,1477,1250,1307,1234,1765,1673,1318,1796
b1643,34,32,16,21,40,20,23,19
b1644,88,65,91,63,78,81,102,103
b1645,93,67,141,119,77,103,133,134
b1646,406,365,3204,3512,622,604,3258,3173
b1647,667,593,2150,2194,875,735,1848,1766
b1648,89,99,173,122,87,107,160,129
b1649,71,57,159,142,90,87,110,149
b1650,355,325,598,599,377,403,568,531
b1651,1063,821,1214,773,1104,1163,1357,846
b1652,486,432,401,400,476,480,452,455
b1653,656,573,1295,1284,731,614,1104,1134
b1654,2193,1774,792,635,749,831,909,862
b1655,595,539,240,183,541,549,263,264
b1656,7175,5825,88,94,204,165,169,184
b1657,216,208,389,357,261,263,351,383
b1658,3766,2994,3006,2349,3486,3149,3134,3262
b1659,169,125,412,345,204,165,349,290
b1660,190,142,231,207,196,170,192,191
b1661,6460,5126,25935,24957,7240,7114,25507,24252
b1662,1173,1017,1567,1376,1305,1233,1585,1411
b1663,333,293,486,424,361,369,671,553
b1664,1367,979,3763,3126,1291,1361,3405,3239
b1667,1735,1421,1462,1181,2234,1935,1351,1489
b1668,731,623,2503,2355,874,919,2913,2724
b1669,34,24,49,53,28,27,50,59
b1670,25,22,45,50,40,38,51,47
b1671,21,20,30,24,21,24,33,24
